epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,1789.29,0.43236,0.26679,0.82485,0.81427,0.81629,0.87478,0.68968,0.81781,0.62304,0.99768,0.000134913,0.000134913,0.000134913
155,1800.83,0.44166,0.26853,0.82378,0.80157,0.86085,0.88503,0.69776,0.81798,0.60334,0.99942,0.000132161,0.000132161,0.000132161
156,1812.35,0.42799,0.26575,0.82503,0.79069,0.8468,0.8891,0.70024,0.8425,0.60681,1.00488,0.000129409,0.000129409,0.000129409
157,1823.99,0.43259,0.26875,0.82909,0.7997,0.84528,0.88736,0.69625,0.83387,0.5922,1.01029,0.000126657,0.000126657,0.000126657
158,1835.59,0.42708,0.26616,0.82107,0.78651,0.85033,0.88004,0.69169,0.83514,0.60675,1.00608,0.000123905,0.000123905,0.000123905
159,1847.19,0.42019,0.26263,0.81885,0.82412,0.83021,0.88214,0.69258,0.8342,0.58181,1.005,0.000121152,0.000121152,0.000121152
160,1858.8,0.43729,0.26631,0.82696,0.78718,0.86461,0.89125,0.70433,0.83404,0.56284,1.00827,0.0001184,0.0001184,0.0001184
161,1870.42,0.41483,0.25903,0.81928,0.81572,0.83142,0.8906,0.70332,0.81405,0.58396,0.99974,0.000115648,0.000115648,0.000115648
162,1882.05,0.41505,0.25366,0.81774,0.77766,0.8685,0.88731,0.70205,0.82257,0.61524,1.0054,0.000112896,0.000112896,0.000112896
163,1893.58,0.41427,0.26021,0.82042,0.78884,0.85217,0.88095,0.69943,0.82589,0.6048,1.01167,0.000110144,0.000110144,0.000110144
164,1905.13,0.41814,0.26126,0.81951,0.80833,0.81222,0.8724,0.69143,0.83118,0.61545,1.01166,0.000107391,0.000107391,0.000107391
165,1916.75,0.41045,0.25335,0.8196,0.7905,0.85962,0.88211,0.69844,0.82978,0.61202,1.00904,0.000104639,0.000104639,0.000104639
166,1928.41,0.41338,0.25506,0.82031,0.78956,0.8709,0.89184,0.70827,0.81623,0.58853,1.00512,0.000101887,0.000101887,0.000101887
167,1940.03,0.41014,0.2577,0.81278,0.82342,0.83448,0.89362,0.7078,0.8207,0.59415,1.00549,9.91348e-05,9.91348e-05,9.91348e-05
168,1951.61,0.40414,0.25409,0.81675,0.7875,0.86405,0.88118,0.69155,0.83336,0.58304,1.01041,9.63826e-05,9.63826e-05,9.63826e-05
169,1963.21,0.41299,0.25636,0.82127,0.78775,0.87755,0.88701,0.69876,0.83402,0.58323,1.00771,9.36304e-05,9.36304e-05,9.36304e-05
170,1974.76,0.4028,0.25507,0.81984,0.76249,0.8697,0.88758,0.70486,0.82121,0.59252,1.00461,9.08782e-05,9.08782e-05,9.08782e-05
171,1986.29,0.39353,0.24828,0.81579,0.80052,0.8428,0.88096,0.69949,0.81477,0.59415,0.99649,8.8126e-05,8.8126e-05,8.8126e-05
172,1997.91,0.40511,0.25555,0.81408,0.76751,0.8873,0.88719,0.70085,0.81481,0.59928,0.99819,8.53738e-05,8.53738e-05,8.53738e-05
173,2009.5,0.40633,0.25179,0.81632,0.77966,0.86799,0.88544,0.69918,0.82272,0.59543,0.99807,8.26216e-05,8.26216e-05,8.26216e-05
174,2021.1,0.39498,0.24505,0.817,0.79516,0.86655,0.88019,0.69868,0.81697,0.5994,1.00085,7.98694e-05,7.98694e-05,7.98694e-05
175,2032.68,0.39239,0.24801,0.81528,0.78172,0.8541,0.87587,0.69463,0.81197,0.60835,0.99538,7.71172e-05,7.71172e-05,7.71172e-05
176,2044.28,0.39657,0.24947,0.821,0.79243,0.84721,0.87909,0.69522,0.82341,0.59941,1.00112,7.4365e-05,7.4365e-05,7.4365e-05
177,2055.82,0.3967,0.25063,0.81656,0.77567,0.86934,0.88233,0.69942,0.82664,0.60701,1.00809,7.16128e-05,7.16128e-05,7.16128e-05
178,2067.49,0.38544,0.23984,0.81406,0.77601,0.86671,0.88054,0.69503,0.83341,0.62369,1.0098,6.88606e-05,6.88606e-05,6.88606e-05
179,2079.06,0.38308,0.2443,0.8137,0.79725,0.85103,0.87397,0.69293,0.81846,0.61502,1.00032,6.61084e-05,6.61084e-05,6.61084e-05
180,2090.6,0.38919,0.24796,0.81408,0.7854,0.85326,0.86763,0.68668,0.82428,0.62114,1.00622,6.33562e-05,6.33562e-05,6.33562e-05
